Surah,Ayah,Text,Char_Length,Casefolding,Tokenizing
1,1,Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang.,65,dengan menyebut nama allah yang maha pemurah lagi maha penyayang ,"['dengan', 'menyebut', 'nama', 'allah', 'yang', 'maha', 'pemurah', 'lagi', 'maha', 'penyayang']"
1,2,"Segala puji bagi Allah, Tuhan semesta alam.",43,segala puji bagi allah tuhan semesta alam ,"['segala', 'puji', 'bagi', 'allah', 'tuhan', 'semesta', 'alam']"
1,3,Maha Pemurah lagi Maha Penyayang.,33,maha pemurah lagi maha penyayang ,"['maha', 'pemurah', 'lagi', 'maha', 'penyayang']"
1,4,Yang menguasai di Hari Pembalasan.,34,yang menguasai di hari pembalasan ,"['yang', 'menguasai', 'di', 'hari', 'pembalasan']"
1,5,"Hanya Engkaulah yang kami sembah, dan hanya kepada Engkaulah kami meminta pertolongan.",86,hanya engkaulah yang kami sembah dan hanya kepada engkaulah kami meminta pe olongan ,"['hanya', 'engkaulah', 'yang', 'kami', 'sembah', 'dan', 'hanya', 'kepada', 'engkaulah', 'kami', 'meminta', 'pe', 'olongan']"
1,6,Tunjukilah kami jalan yang lurus,32,tunjukilah kami jalan yang lurus,"['tunjukilah', 'kami', 'jalan', 'yang', 'lurus']"
1,7,(yaitu) Jalan orang-orang yang telah Engkau beri nikmat kepada mereka; bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat.,147, yaitu jalan orang orang yang telah engkau beri nikmat kepada mereka bukan jalan mereka yang dimurkai dan bukan pula jalan mereka yang sesat ,"['yaitu', 'jalan', 'orang', 'orang', 'yang', 'telah', 'engkau', 'beri', 'nikmat', 'kepada', 'mereka', 'bukan', 'jalan', 'mereka', 'yang', 'dimurkai', 'dan', 'bukan', 'pula', 'jalan', 'mereka', 'yang', 'sesat']"
2,1,Alif laam miim.,15,alif laam miim ,"['alif', 'laam', 'miim']"
2,2,Kitab (Al Quran) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,83,kitab al quran ini tidak ada keraguan padanya petunjuk bagi mereka yang be akwa,"['kitab', 'al', 'quran', 'ini', 'tidak', 'ada', 'keraguan', 'padanya', 'petunjuk', 'bagi', 'mereka', 'yang', 'be', 'akwa']"
2,3,"(yaitu) mereka yang beriman kepada yang ghaib, yang mendirikan shalat, dan menafkahkan sebahagian rezeki yang Kami anugerahkan kepada mereka.",141, yaitu mereka yang beriman kepada yang ghaib yang mendirikan shalat dan menafkahkan sebahagian rezeki yang kami anugerahkan kepada mereka ,"['yaitu', 'mereka', 'yang', 'beriman', 'kepada', 'yang', 'ghaib', 'yang', 'mendirikan', 'shalat', 'dan', 'menafkahkan', 'sebahagian', 'rezeki', 'yang', 'kami', 'anugerahkan', 'kepada', 'mereka']"
2,4,"dan mereka yang beriman kepada Kitab (Al Quran) yang telah diturunkan kepadamu dan Kitab-kitab yang telah diturunkan sebelummu, serta mereka yakin akan adanya (kehidupan) akhirat.",179,dan mereka yang beriman kepada kitab al quran yang telah diturunkan kepadamu dan kitab kitab yang telah diturunkan sebelummu se a mereka yakin akan adanya kehidupan akhirat ,"['dan', 'mereka', 'yang', 'beriman', 'kepada', 'kitab', 'al', 'quran', 'yang', 'telah', 'diturunkan', 'kepadamu', 'dan', 'kitab', 'kitab', 'yang', 'telah', 'diturunkan', 'sebelummu', 'se', 'a', 'mereka', 'yakin', 'akan', 'adanya', 'kehidupan', 'akhirat']"
2,5,"Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka, dan merekalah orang-orang yang beruntung.",103,mereka itulah yang tetap mendapat petunjuk dari tuhan mereka dan merekalah orang orang yang beruntung ,"['mereka', 'itulah', 'yang', 'tetap', 'mendapat', 'petunjuk', 'dari', 'tuhan', 'mereka', 'dan', 'merekalah', 'orang', 'orang', 'yang', 'beruntung']"
2,6,"Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak juga akan beriman.",140,sesungguhnya orang orang kafir sama saja bagi mereka kamu beri peringatan atau tidak kamu beri peringatan mereka tidak juga akan beriman ,"['sesungguhnya', 'orang', 'orang', 'kafir', 'sama', 'saja', 'bagi', 'mereka', 'kamu', 'beri', 'peringatan', 'atau', 'tidak', 'kamu', 'beri', 'peringatan', 'mereka', 'tidak', 'juga', 'akan', 'beriman']"
2,7,"Allah telah mengunci-mati hati dan pendengaran mereka, dan penglihatan mereka ditutup. Dan bagi mereka siksa yang amat berat.",125,allah telah mengunci mati hati dan pendengaran mereka dan penglihatan mereka ditutup dan bagi mereka siksa yang amat berat ,"['allah', 'telah', 'mengunci', 'mati', 'hati', 'dan', 'pendengaran', 'mereka', 'dan', 'penglihatan', 'mereka', 'ditutup', 'dan', 'bagi', 'mereka', 'siksa', 'yang', 'amat', 'berat']"
2,8,"Di antara manusia ada yang mengatakan: ""Kami beriman kepada Allah dan Hari kemudian,"" pada hal mereka itu sesungguhnya bukan orang-orang yang beriman.",150,di antara manusia ada yang mengatakan kami beriman kepada allah dan hari kemudian pada hal mereka itu sesungguhnya bukan orang orang yang beriman ,"['di', 'antara', 'manusia', 'ada', 'yang', 'mengatakan', 'kami', 'beriman', 'kepada', 'allah', 'dan', 'hari', 'kemudian', 'pada', 'hal', 'mereka', 'itu', 'sesungguhnya', 'bukan', 'orang', 'orang', 'yang', 'beriman']"
2,9,"Mereka hendak menipu Allah dan orang-orang yang beriman, padahal mereka hanya menipu dirinya sendiri sedang mereka tidak sadar.",127,mereka hendak menipu allah dan orang orang yang beriman padahal mereka hanya menipu dirinya sendiri sedang mereka tidak sadar ,"['mereka', 'hendak', 'menipu', 'allah', 'dan', 'orang', 'orang', 'yang', 'beriman', 'padahal', 'mereka', 'hanya', 'menipu', 'dirinya', 'sendiri', 'sedang', 'mereka', 'tidak', 'sadar']"
